"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/Makefile", "Makefile", 0, 52, 0, 13, 21, 86
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/ai.c", "C", 50, 0, 0, 43, 5, 98
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/decasc.c", "C", 51, 0, 0, 6, 10, 67
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/difficulty.c", "C", 43, 0, 0, 2, 6, 51
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/display.c", "C", 33, 0, 0, 0, 16, 49
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/displaygame.c", "C", 41, 0, 0, 0, 4, 45
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/game.c", "C", 233, 0, 0, 4, 42, 279
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/header.h", "C++", 0, 0, 72, 5, 29, 106
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/io.c", "C", 47, 0, 0, 1, 15, 63
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/leaderboard.c", "C", 0, 0, 0, 0, 1, 1
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/main.c", "C", 98, 0, 0, 41, 22, 161
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/menumanager.c", "C", 333, 0, 0, 7, 44, 384
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/mipslabdata.c", "C", 194, 0, 0, 7, 6, 207
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/mipslabfunc.c", "C", 211, 0, 0, 98, 45, 354
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/stubs.c", "C", 7, 0, 0, 8, 6, 21
"/Users/gertling/Desktop/Datorteknik/dtek-mini-project/timer.c", "C", 35, 0, 0, 6, 10, 51
"Total", "-", 1376, 52, 72, 241, 282, 2023
